critical_distractor,condition,critical_target,target_sentence,sentence_number,alt_sentence,pair_distractor,pair_correct,sentence_block.thisRepN,sentence_block.thisTrialN,sentence_block.thisN,sentence_block.thisIndex,sentence_trial.thisRepN,sentence_trial.thisTrialN,sentence_trial.thisN,sentence_trial.thisIndex,resp,resp.RT,resp.acc,block.acc,block.RT,participant,version,exp_name,frameRate,session,date,session_start,
院,4,息,说 | 是 | 一 | 年 | 连 | 本 | 带 | 息 | 还 | 清.,2,Ｘ | 镑 | 动 | 卩 | 满 | 洲 | 革 | 院 | 雌 | 丫.,Ｘ,说,0,0,0,1,0,0,0,0,0,848.9,1,,,917,1.0.0,untitled,59.7001261099,001,2016-10-26,00:16:38,
院,4,息,说 | 是 | 一 | 年 | 连 | 本 | 带 | 息 | 还 | 清.,2,Ｘ | 镑 | 动 | 卩 | 满 | 洲 | 革 | 院 | 雌 | 丫.,镑,是,0,0,0,1,0,1,1,1,1,938.5,1,,,917,1.0.0,untitled,59.7001261099,001,2016-10-26,00:16:38,
院,4,息,说 | 是 | 一 | 年 | 连 | 本 | 带 | 息 | 还 | 清.,2,Ｘ | 镑 | 动 | 卩 | 满 | 洲 | 革 | 院 | 雌 | 丫.,动,一,0,0,0,1,0,2,2,2,0,631.9,1,,,917,1.0.0,untitled,59.7001261099,001,2016-10-26,00:16:38,
院,4,息,说 | 是 | 一 | 年 | 连 | 本 | 带 | 息 | 还 | 清.,2,Ｘ | 镑 | 动 | 卩 | 满 | 洲 | 革 | 院 | 雌 | 丫.,卩,年,0,0,0,1,0,3,3,3,1,817.4,1,,,917,1.0.0,untitled,59.7001261099,001,2016-10-26,00:16:38,
院,4,息,说 | 是 | 一 | 年 | 连 | 本 | 带 | 息 | 还 | 清.,2,Ｘ | 镑 | 动 | 卩 | 满 | 洲 | 革 | 院 | 雌 | 丫.,满,连,0,0,0,1,0,4,4,4,0,564.7,1,,,917,1.0.0,untitled,59.7001261099,001,2016-10-26,00:16:38,
院,4,息,说 | 是 | 一 | 年 | 连 | 本 | 带 | 息 | 还 | 清.,2,Ｘ | 镑 | 动 | 卩 | 满 | 洲 | 革 | 院 | 雌 | 丫.,洲,本,0,0,0,1,0,5,5,5,0,425.3,1,,,917,1.0.0,untitled,59.7001261099,001,2016-10-26,00:16:38,
院,4,息,说 | 是 | 一 | 年 | 连 | 本 | 带 | 息 | 还 | 清.,2,Ｘ | 镑 | 动 | 卩 | 满 | 洲 | 革 | 院 | 雌 | 丫.,革,带,0,0,0,1,0,6,6,6,1,700.7,1,,,917,1.0.0,untitled,59.7001261099,001,2016-10-26,00:16:38,
院,4,息,说 | 是 | 一 | 年 | 连 | 本 | 带 | 息 | 还 | 清.,2,Ｘ | 镑 | 动 | 卩 | 满 | 洲 | 革 | 院 | 雌 | 丫.,院,息,0,0,0,1,0,7,7,7,0,675.8,1,,,917,1.0.0,untitled,59.7001261099,001,2016-10-26,00:16:38,
院,4,息,说 | 是 | 一 | 年 | 连 | 本 | 带 | 息 | 还 | 清.,2,Ｘ | 镑 | 动 | 卩 | 满 | 洲 | 革 | 院 | 雌 | 丫.,雌,还,0,0,0,1,0,8,8,8,1,962.1,1,,,917,1.0.0,untitled,59.7001261099,001,2016-10-26,00:16:38,
院,4,息,说 | 是 | 一 | 年 | 连 | 本 | 带 | 息 | 还 | 清.,2,Ｘ | 镑 | 动 | 卩 | 满 | 洲 | 革 | 院 | 雌 | 丫.,丫.,清.,0,0,0,1,0,9,9,9,0,624.5,1,,,917,1.0.0,untitled,59.7001261099,001,2016-10-26,00:16:38,
院,4,息,说 | 是 | 一 | 年 | 连 | 本 | 带 | 息 | 还 | 清.,2,Ｘ | 镑 | 动 | 卩 | 满 | 洲 | 革 | 院 | 雌 | 丫.,,,0,0,0,1,,,,,,,,1,9727.5,917,1.0.0,untitled,59.7001261099,001,2016-10-26,00:16:38,
置,3,治,"这种 | 人 | 用 | 这种 | 方法 | 治, | 可谓 | 是 | 以毒攻毒.",1,"ＸＸ | 峙 | 肩 | 签订 | 温馨 | 置, | 卑鄙 | 韦 | 无地自容.",ＸＸ,这种,0,1,1,0,0,0,0,0,0,1731.3,0,,,917,1.0.0,untitled,59.7001261099,001,2016-10-26,00:16:38,
置,3,治,"这种 | 人 | 用 | 这种 | 方法 | 治, | 可谓 | 是 | 以毒攻毒.",1,"ＸＸ | 峙 | 肩 | 签订 | 温馨 | 置, | 卑鄙 | 韦 | 无地自容.",,,0,1,1,0,,,,,,,,0,1973.2,917,1.0.0,untitled,59.7001261099,001,2016-10-26,00:16:38,
